Load, Score, SAV (1/cm), Max Mises Stress (MPa), Node 1 Displacement (cm), Node 2 Displacement (cm)
1, -40.238, 40.238, 39.5, 0.017, 0.020
2, 1.001, 40.238, 54.6, 0.294, 0.431
1, -40.237, 40.237, 35.2, 0.017, 0.020
2, 1.017, 40.237, 55.5, 0.294, 0.431
1, -40.236, 40.236, 35.3, 0.017, 0.020
2, 1.006, 40.236, 54.9, 0.294, 0.431
1, -40.237, 40.237, 35.2, 0.017, 0.020
2, 1.014, 40.237, 55.3, 0.294, 0.431
1, -40.237, 40.237, 35.5, 0.017, 0.020
2, 1.012, 40.237, 55.2, 0.294, 0.431
1, -40.235, 40.235, 35.2, 0.017, 0.020
2, -40.235, 40.235, 54.1, 0.294, 0.431
1, -40.238, 40.238, 35.3, 0.017, 0.020
2, 1.004, 40.238, 54.8, 0.294, 0.431
1, -40.238, 40.238, 38.9, 0.017, 0.020
2, 1.000, 40.238, 54.6, 0.294, 0.431
1, -40.238, 40.238, 39.9, 0.017, 0.020
2, -40.238, 40.238, 54.5, 0.294, 0.431
1, -40.239, 40.239, 35.2, 0.017, 0.020
2, -40.239, 40.239, 54.4, 0.294, 0.431
1, -40.241, 40.241, 39.5, 0.017, 0.020
2, 1.009, 40.241, 55.0, 0.294, 0.431
1, -40.238, 40.238, 39.5, 0.017, 0.020
2, 1.016, 40.238, 55.4, 0.294, 0.431
1, -40.238, 40.238, 39.5, 0.017, 0.020
2, 1.010, 40.238, 55.1, 0.294, 0.431
1, -40.239, 40.239, 35.7, 0.017, 0.020
2, -40.239, 40.239, 54.2, 0.294, 0.431
1, -40.239, 40.239, 35.2, 0.017, 0.020
2, 1.011, 40.239, 55.1, 0.294, 0.431
1, -40.237, 40.237, 35.2, 0.017, 0.020
2, 1.003, 40.237, 54.7, 0.294, 0.431
1, -40.238, 40.238, 35.5, 0.017, 0.020
2, 1.011, 40.238, 55.1, 0.294, 0.431
1, -40.239, 40.239, 35.6, 0.017, 0.020
2, 1.015, 40.239, 55.4, 0.294, 0.431
1, -40.238, 40.238, 35.6, 0.017, 0.020
2, -40.238, 40.238, 54.3, 0.294, 0.431
1, -40.238, 40.238, 35.6, 0.017, 0.020
2, 1.014, 40.238, 55.3, 0.294, 0.431
1, -40.238, 40.238, 38.8, 0.017, 0.020
2, 1.001, 40.238, 54.6, 0.294, 0.431
1, -40.238, 40.238, 38.9, 0.017, 0.020
2, -40.238, 40.238, 54.5, 0.294, 0.431
