a, b, c, score
0.0, 0.4250002262560147, 0.4250002262560147, 3269.8 
1e-08, 0.4250002262560147, 0.4250002262560147, 3269.8 
0.0, 0.4250002362560147, 0.4250002262560147, 3269.8 
0.0, 0.4250002262560147, 0.4250002362560147, 3269.8 
0.0, 0.4250002265758, 0.4250002265758, 3269.8 
1e-08, 0.4250002265758, 0.4250002265758, 3269.8 
0.0, 0.4250002365758, 0.4250002265758, 3269.8 
0.0, 0.4250002265758, 0.4250002365758, 3269.8 
0.0, 0.4296877110157513, 0.4296877110157513, 3259.5 
1e-08, 0.4296877110157513, 0.4296877110157513, 3259.5 
0.0, 0.4296877210157513, 0.4296877110157513, 3259.5 
0.0, 0.4296877110157513, 0.4296877210157513, 3259.5 
0.0, 0.42968771109635756, 0.42968771109635756, 3259.5 
